videoId,título,publicado,duración,playlist(s),enlace,categoría ID,vistas,likes,comentarios,privacidad,actualizado,usuariosUnicos,usuariosZoom,Ayudante
9lXAx7SCWHg,Python Para Ingeniería - Preparando tu Prueba [Rodrigo O.],4/05/2025 23:07:06,1:29:56,Python para Ingeniería [1-2025],https://youtu.be/9lXAx7SCWHg,24,412,8,0,public,28/05/2025 22:46:14,,,Rodrigo O.
Be8z0zF8MTY,Física 1 - Ayudantia 3:  Preparando la PEP 1 [Aisaac M.],4/05/2025 22:58:29,2:39:22,Física 1 [1-2025],https://youtu.be/Be8z0zF8MTY,24,2102,45,0,public,28/05/2025 22:46:14,,,Aisaac M.
G3gLLn8GJmc,Cálculo 2 - Ayudantía 6: Preparando la PEP 1 [Renato Vásquez C.],4/05/2025 22:40:36,1:32:13,Cálculo 2 [1-2025],https://youtu.be/G3gLLn8GJmc,24,593,15,0,public,28/05/2025 22:46:14,,,Renato Vásquez C.
YVbcINKacMk,Física 1 - Ayudantia 2: MRU y MRUA [Fernando S.],4/05/2025 16:44:21,2:47:51,Física 1 [1-2025],https://youtu.be/YVbcINKacMk,24,1470,34,0,public,28/05/2025 22:46:14,,,Fernando S.
Qjrthe2huTk,Fundamentos de Economía: Ejercicio Pep 1 [Benjamín Sepúlveda],4/05/2025 12:32:53,0:40:03,Fundamentos de Economía [1-2025],https://youtu.be/Qjrthe2huTk,24,495,10,0,public,28/05/2025 22:46:14,,,Benjamín Sepúlveda
dB8eSsL89qA,Álgebra 2 - Ayudantía 2: Preparando la Pep 1 [Trinidad Palma],3/05/2025 22:44:48,1:14:32,—,https://youtu.be/dB8eSsL89qA,24,555,10,1,public,28/05/2025 22:46:14,,,Trinidad Palma
LGTmSbwgkfg,"Cálculo 2 - Ayudantía 5: Método de discos, arandelas y cascarones cilíndricos [Byron Caices]",3/05/2025 21:15:04,2:05:21,Cálculo 2 [1-2025],https://youtu.be/LGTmSbwgkfg,24,330,13,0,public,28/05/2025 22:46:14,,,Byron Caices
QK_qhZ7TWJc,Cálculo 2 - Ayudantía 4: Secciones Transversales [Byron Caices],3/05/2025 21:00:32,1:53:29,Cálculo 2 [1-2025],https://youtu.be/QK_qhZ7TWJc,24,316,9,0,public,28/05/2025 22:46:14,,,Byron Caices
voLgTpvasUE,Física 1 - Ayudantía 2: Repaso MRU/MRUA [Byron Caices],3/05/2025 20:30:45,1:56:19,Física 1 [1-2025],https://youtu.be/voLgTpvasUE,24,2094,60,0,public,28/05/2025 22:46:14,,,Byron Caices
Nj0icP3w3uw,Cálculo 1 - Ayudantía 10: Preparando la PEP 1 [Mohamed Al-Marzuk],3/05/2025 20:16:08,2:03:34,Cálculo 1 [1-2025],https://youtu.be/Nj0icP3w3uw,24,1811,28,2,public,28/05/2025 22:46:14,,,Mohamed Al-Marzuk
mWxZshmOy1E,Cálculo 1 - Ayudantía 9: Inecuaciones con valor absoluto y funciones [Byron Caices],3/05/2025 19:49:37,2:30:18,Cálculo 1 [1-2025],https://youtu.be/mWxZshmOy1E,24,889,21,0,public,28/05/2025 22:46:14,,,Byron Caices
HauzRXMYyCA,Cálculo 1 - Ayudantía 8: Cambio de Variable en límites y Teorema del Sandwich [Byron Caices],3/05/2025 19:27:27,1:22:10,Cálculo 1 [1-2025],https://youtu.be/HauzRXMYyCA,24,592,20,0,public,28/05/2025 22:46:14,,,Byron Caices
U3wgLHK-6XQ,Física 2 - Ayudantía 2: Preparando la PEP 1 [Aisaac M.],3/05/2025 14:40:02,1:13:07,Física 2 [1-2025],https://youtu.be/U3wgLHK-6XQ,24,1041,16,1,public,28/05/2025 22:46:14,,,Aisaac M.
WDbslfJASgc,Álgebra 1 - Ayudantía 6: Preparando la PEP 1 [Maxi Rodríguez],3/05/2025 0:27:56,1:34:14,—,https://youtu.be/WDbslfJASgc,24,1425,41,1,public,28/05/2025 22:46:14,,,Maxi Rodríguez
UAPtyI2RHms,Cálculo 2 - Ayudantía 3: INTENSIVO PREPARANDO SEMANA DE PEPS [Renato Vásquez C.],2/05/2025 21:17:25,2:07:40,Cálculo 2 [1-2025],https://youtu.be/UAPtyI2RHms,24,508,16,1,public,28/05/2025 22:46:14,,,Renato Vásquez C.
LVzZucd5QY0,Química - Ayudantía 4: INTENSIVO PREPARANDO SEMANA DE PEPS [Leonard S.],2/05/2025 19:39:23,0:46:17,—,https://youtu.be/LVzZucd5QY0,24,471,8,0,public,28/05/2025 22:46:14,,,Leonard S.
4Ohi0nKs4Io,Transmisión en vivo de Usach Premium,2/05/2025 11:15:31,,—,https://youtu.be/4Ohi0nKs4Io,24,0,0,0,public,28/05/2025 22:46:14,,,Falta Nombre del Ayudante
DrmfdyLdO3c,Ecuaciones Diferenciales: Intensivo Pep 1 [Benjamín Sepúlveda],1/05/2025 18:45:44,3:53:24,—,https://youtu.be/DrmfdyLdO3c,24,752,21,4,public,28/05/2025 22:46:14,,,Benjamín Sepúlveda
yw6jyMYjj-U,Fundamentos de Economía: Ayudantía 5 [Benjamín Sepúlveda],1/05/2025 17:47:30,0:38:30,Fundamentos de Economía [1-2025],https://youtu.be/yw6jyMYjj-U,24,403,3,1,public,28/05/2025 22:46:14,,,Benjamín Sepúlveda
-0X09imE6hM,Fundamentos de Economía: Ayudantía 4 [Benjamín Sepúlveda],1/05/2025 17:45:44,0:31:49,Fundamentos de Economía [1-2025],https://youtu.be/-0X09imE6hM,24,352,5,0,public,28/05/2025 22:46:14,,,Benjamín Sepúlveda
Vv8xcEvJCxA,Cálculo 3 - Cápsula Ejercicios PEP1 [Benjamín Saavedra],1/05/2025 17:33:56,1:09:17,Cálculo 3 [1-2025],https://youtu.be/Vv8xcEvJCxA,24,375,8,5,public,15/05/2025 23:46:15,,,Benjamín Saavedra
zqUlk5u6guY,Cálculo 2 - Cápsula Ejercicios PEP1 [Benjamín Saavedra],30/04/2025 22:48:54,0:48:32,Cálculo 2 [1-2025],https://youtu.be/zqUlk5u6guY,24,405,18,0,public,28/05/2025 22:46:14,,,Benjamín Saavedra
Lfq_R88s-SM,Cálculo 1 - Ayudantía 7: Composición de Funciones [Byron Caices],27/04/2025 10:30:20,0:44:57,Cálculo 1 [1-2025],https://youtu.be/Lfq_R88s-SM,24,1333,43,2,public,28/05/2025 22:46:14,,,Byron Caices
qiCmrpxnDZ8,Cálculo 1 - Ayudantía 6: Inyectividad y Sobreyectividad (Teoría) [Byron Caices],27/04/2025 9:30:43,2:11:52,Cálculo 1 [1-2025],https://youtu.be/qiCmrpxnDZ8,24,1061,29,1,public,28/05/2025 22:46:14,,,Byron Caices
n9oFON1NycI,"Cálculo 1 - Ayudantía 5: Funciones, Monotonía y Límites [Byron Caices]",27/04/2025 8:30:54,2:25:09,Cálculo 1 [1-2025],https://youtu.be/n9oFON1NycI,24,2036,72,2,public,28/05/2025 22:46:14,,,Byron Caices
tj3pPHaoVzE,Química - Ayudantía 3: Preparando el Control 2 [Leonard S.],25/04/2025 14:10:25,0:52:30,Química [1-2025],https://youtu.be/tj3pPHaoVzE,24,776,16,0,public,28/05/2025 22:46:14,,,Leonard S.
5sMINiL64z0,Python para Ingeniería - Ayudantía 3: Iteraciones [Rodrigo O.],24/04/2025 22:11:24,2:04:32,Python para Ingeniería [1-2025],https://youtu.be/5sMINiL64z0,24,309,11,0,public,28/05/2025 22:46:14,,,Rodrigo O.
D3ZEGJsdoC0,Cálculo 1 - Ayudantía 4: Límites [Mohamed Al-Marzuk],24/04/2025 10:14:07,1:18:19,Cálculo 1 [1-2025],https://youtu.be/D3ZEGJsdoC0,24,950,21,0,public,28/05/2025 22:46:14,,,Mohamed Al-Marzuk
23atjVgl1o4,Álgebra 1 - Ayudantía 5: Polinomios (Parte 2) [Maxi Rodríguez],23/04/2025 23:25:22,0:38:12,Álgebra I [1-2025],https://youtu.be/23atjVgl1o4,24,747,14,0,public,28/05/2025 22:46:14,,,Maxi Rodríguez
dEq-XPHKdaE,Álgebra 1 - Ayudantía 5: Polinomios (Parte 1) [Maxi Rodríguez],23/04/2025 23:24:58,0:46:18,Álgebra I [1-2025],https://youtu.be/dEq-XPHKdaE,24,616,13,1,public,28/05/2025 22:46:14,,,Maxi Rodríguez
UlMy3fl3xL4,Álgebra 1 - Ayudantía 4: Polinomios [Aisaac M.],20/04/2025 20:49:58,1:26:46,Álgebra I [1-2025],https://youtu.be/UlMy3fl3xL4,24,1464,42,0,public,28/05/2025 22:46:14,,,Aisaac M.
Qh_jHwXzcOs,Fundamentos de Economía - Ayudantía 3 [Benjamín Sepúlveda],20/04/2025 17:35:13,0:38:11,Fundamentos de Economía [1-2025],https://youtu.be/Qh_jHwXzcOs,24,455,6,0,public,28/05/2025 22:46:14,,,Benjamín Sepúlveda
btdfLj1IZEw,Cálculo 2 - Ayudantía 2: Sustitución Trigonométrica y Área entre Curvas [Byron Caices],20/04/2025 14:01:36,1:50:18,Cálculo 2 [1-2025],https://youtu.be/btdfLj1IZEw,24,636,17,0,public,28/05/2025 22:46:14,,,Byron Caices
n7b0_avRjfo,Cálculo 2 - Ayudantía 1: Integral por Sustitución Simple e Integral Por Partes [Byron Caices],20/04/2025 14:01:08,1:31:31,Cálculo 2 [1-2025],https://youtu.be/n7b0_avRjfo,24,876,26,0,public,28/05/2025 22:46:14,,,Byron Caices
_CtuoeY_3e8,Python para Ingeniería - Ayudantía 2: Iteraciones [Rodrigo O.],17/04/2025 22:14:29,2:09:37,Python para Ingeniería [1-2025],https://youtu.be/_CtuoeY_3e8,24,415,13,1,public,28/05/2025 22:46:14,,,Rodrigo O.
ZLzD2_B29g8,"Cálculo 1 - Ayudantía 3: Monotonía, composición de funciones y función inversa [Mohamed Al-Marzuk]",16/04/2025 22:51:58,1:19:02,Cálculo 1 [1-2025],https://youtu.be/ZLzD2_B29g8,24,1420,22,0,public,28/05/2025 22:46:14,,,Mohamed Al-Marzuk
jpNsjgFytPQ,"Física 1 - Ayudantía 1: MRU, MRUA y Análisis de Gráficos [Aisaac M.]",15/04/2025 23:31:26,1:32:59,Física 1 [1-2025],https://youtu.be/jpNsjgFytPQ,24,1973,35,0,public,28/05/2025 22:46:14,,,Aisaac M.
_ZgtS5pY-sQ,"Física 2 - Ayudantía 1: MCU, MCUA y Aceleración Centrípeta [Aisaac M.]",15/04/2025 23:26:28,0:57:24,Física 2 [1-2025],https://youtu.be/_ZgtS5pY-sQ,24,600,12,1,public,28/05/2025 22:46:14,,,Aisaac M.
uvxKeWyoOhA,Álgebra 2 - Ayudantía 1: Preparando el Control [Byron Caices],13/04/2025 22:06:09,1:46:09,Álgebra 2 [1-2025],https://youtu.be/uvxKeWyoOhA,24,596,10,0,public,28/05/2025 22:46:14,,,Byron Caices
7T8dPTjpYX4,Álgebra 2 - Ayudantía 0: Preparando el Control [Trinidad Palma],13/04/2025 22:03:03,1:10:02,Álgebra 2 [1-2025],https://youtu.be/7T8dPTjpYX4,24,444,7,0,public,28/05/2025 22:46:14,,,Trinidad Palma
0vWA-CIT7cE,Química - Ayudantía 2: Números Cuánticos/Configuración Electrónica [Leonard S.],12/04/2025 20:12:02,0:53:05,Química [1-2025],https://youtu.be/0vWA-CIT7cE,24,342,12,0,public,28/05/2025 22:46:14,,,Leonard S.
5PC1DOVGC5E,Álgebra 1 - Ayudantía 3: Conjuntos [Maxi Rodríguez],12/04/2025 20:08:16,1:12:03,Álgebra I [1-2025],https://youtu.be/5PC1DOVGC5E,24,2233,50,2,public,28/05/2025 22:46:14,,,Maxi Rodríguez
vcTViLzLhkQ,Cálculo 3 - Cápsula 0: Preparando el Control 1 [Aisaac M.],10/04/2025 21:50:07,0:50:19,Cálculo 3 [1-2025],https://youtu.be/vcTViLzLhkQ,24,668,21,1,public,28/05/2025 22:46:14,,,Aisaac M.
uK_BvQzNFwo,Cálculo 2 - Ayudantía 0 Parte 3: Suma Geométrica [Fernando S.],6/04/2025 18:41:53,0:15:52,Cálculo 2 [1-2025],https://youtu.be/uK_BvQzNFwo,24,225,4,0,public,28/05/2025 22:46:14,,,Fernando S.
jMtjszDTNWQ,Cálculo 2 - Ayudantía 0 Parte 2: Suma Telescópica [Fernando S.],6/04/2025 18:40:50,0:23:35,Cálculo 2 [1-2025],https://youtu.be/jMtjszDTNWQ,24,263,8,0,public,28/05/2025 22:46:14,,,Fernando S.
edPAVcfjDYQ,Cálculo 2 - Ayudantía 0 Parte 1: Riemann Normal [Fernando S.],6/04/2025 18:39:48,0:20:04,Cálculo 2 [1-2025],https://youtu.be/edPAVcfjDYQ,24,421,13,0,public,28/05/2025 22:46:14,,,Fernando S.
8CShddZTX8I,Fundamentos de Economía - Ayudantía 2 [Benjamín Sepúlveda],4/04/2025 21:25:12,1:04:43,Fundamentos de Economía [1-2025],https://youtu.be/8CShddZTX8I,24,678,12,0,public,27/05/2025 21:46:15,,,Benjamín Sepúlveda
AQfrpJU1YrA,Física 2 - Ayudantía 0: Preparando el Control 1 [Aisaac M.],4/04/2025 0:16:38,1:31:58,Física 2 [1-2025],https://youtu.be/AQfrpJU1YrA,24,682,11,1,public,26/05/2025 22:46:17,,,Aisaac M.
BWmbveIU7zk,Cálculo 1 - Ayudantía 2: Inecuaciones [Mohamed Al-Marzuk],1/04/2025 14:06:15,0:58:40,Cálculo 1 [1-2025],https://youtu.be/BWmbveIU7zk,24,1064,21,0,public,12/05/2025 22:46:15,,,Mohamed Al-Marzuk
J-DtA5_bbzA,Física 1 - Ayudantía 0: Análisis Dimensional y Conversión de unidades [Aisaac M.],28/03/2025 23:35:24,1:50:25,Física 1 [1-2025],https://youtu.be/J-DtA5_bbzA,24,2442,70,1,public,7/05/2025 1:46:14,,,Aisaac M.
f-Ef55ZH3Ts,Fundamentos de Economía: Ayudantía Express para la Pep 1 [Benjamín Sepúlveda],7/05/2025 1:51:11,3:13:50,Fundamentos de Economía [1-2025],https://youtu.be/f-Ef55ZH3Ts,24,897,25,1,public,28/05/2025 22:46:14,,,
3zAufFt83VA,Álgebra 1 - Ayudantía 7: Principio de Inducción [Maxi Rodríguez],12/05/2025 23:01:28,1:12:31,—,https://youtu.be/3zAufFt83VA,24,1434,44,1,public,28/05/2025 22:46:14,,,
gjY5AsY8kxA,Cálculo 1 - Ayudantía 11: Asíntotas [Mohamed Al-Marzuk],13/05/2025 23:08:01,1:20:48,Cálculo 1 [1-2025],https://youtu.be/gjY5AsY8kxA,24,1364,36,0,public,28/05/2025 22:46:14,,,
35TQPeyRHu4,Álgebra 1 - Ayudantía 8: Sumatorias [Maxi Rodríguez],26/05/2025 22:48:36,1:13:56,—,https://youtu.be/35TQPeyRHu4,24,278,14,0,public,28/05/2025 22:46:14,,,
I9cWKpwf4Nw,"Cálculo 1 - Ayudantía 12: Función trigonométrica, exponencial y logarítmica [Mohamed Al-Marzuk]",27/05/2025 22:45:31,1:28:27,Cálculo 1 [1-2025],https://youtu.be/I9cWKpwf4Nw,24,88,6,0,public,28/05/2025 22:46:14,,,